AÑO; MES ;"SPT
(para agregado)";"SPNF
(para agregado)";"PGE 
(para agregado)";"SPT
(para consolidado)";"SPNF
(para consolidado)";"PGE 
(para consolidado)"; TIPO DE ACREEDOR GENERAL ; TIPO DE ACREEDORS ESPECÍFICO ; SALDO AL MES ANTERIOR ; DESEMBOLSOS ; AMORTIZACIONES ; INTERESES ; SALDO DEL MES 
2021;ENERO;1;1;0;0;0;0;PRÉSTAMOS INTERNOS;BANCO DE DESARROLLO DEL ECUADOR;1.509.021,92;26.367,50;28.048,11;10.703,69;1.507.376,15
2021;ENERO;0;0;1;0;0;0;PRÉSTAMOS INTERNOS;BANCO DE DESARROLLO DEL ECUADOR;268.326,19;387,49;1.774,17;1.018,88;266.975,33
2021;ENERO;0;0;0;0;0;1;PRÉSTAMOS INTERNOS;BANCO DE DESARROLLO DEL ECUADOR;1.363.421,58;25.980,01;26.273,94;9.684,81;1.363.126,67
2021;ENERO;1;1;1;1;1;1;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PRIVADOS;1.030.366,64; -   ;18.589,13;8.509,72;1.011.777,50
2021;ENERO;1;1;1;0;0;0;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PÚBLICOS;13.667.427,91; -   ;351.352,21;36.239,55;13.316.075,70
2021;ENERO;0;0;0;0;1;0;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PÚBLICOS;4.217.730,99; -   ;336.619,62;6.155,12;3.881.111,37
2021;ENERO;0;0;0;0;0;1;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PÚBLICOS;13.656.921,43; -   ;351.352,21;36.047,53;13.305.569,22
2021;ENERO;1;1;1;0;0;0;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;708.316,95; -   ; -   ; -   ;1.969.570,16
2021;ENERO;0;0;0;1;0;0;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;299.420,60; -   ; -   ; -   ;677.990,61
2021;ENERO;0;0;0;0;1;0;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;385.143,18; -   ; -   ; -   ;773.935,70
2021;ENERO;0;0;0;0;0;1;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;600.612,95; -   ; -   ; -   ;1.803.423,97
2021;ENERO;1;1;1;0;0;1;OTRAS CUENTAS POR PAGAR;SEGURIDAD SOCIAL;381.065,84; -   ; -   ; -   ;381.065,84
2021;ENERO;1;1;1;0;1;1;PRÉSTAMOS INTERNOS;BANCO CENTRAL DEL ECUADOR;500.000,00; -   ; -   ; -   ;500.000,00
2021;FEBRERO;1;1;0;0;0;0;PRÉSTAMOS INTERNOS;BANCO DE DESARROLLO DEL ECUADOR;1.507.376,15;59.110,59;50.561,38;10.856,22;1.515.937,16
2021;FEBRERO;0;0;1;0;0;0;PRÉSTAMOS INTERNOS;BANCO DE DESARROLLO DEL ECUADOR;266.975,33;12.416,89;1.761,87;1.065,48;277.656,30
2021;FEBRERO;0;0;0;0;0;1;PRÉSTAMOS INTERNOS;BANCO DE DESARROLLO DEL ECUADOR;1.363.126,67;46.693,70;48.799,51;9.790,74;1.361.006,72
2021;FEBRERO;1;1;1;1;1;1;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PRIVADOS;1.011.777,50; -   ;3.027,22;6.425,45;1.008.750,29
2021;FEBRERO;1;1;1;0;0;0;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PÚBLICOS;13.316.075,70; -   ;63.087,10;66.891,79;13.252.988,60
2021;FEBRERO;0;0;0;0;1;0;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PÚBLICOS;3.881.111,37; -   ; -   ;26.788,21;3.881.111,37
2021;FEBRERO;0;0;0;0;0;1;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PÚBLICOS;13.305.569,22; -   ;63.087,10;66.776,13;13.242.482,12
2021;FEBRERO;1;1;1;0;0;0;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;1.969.570,16; -   ; -   ; -   ;1.511.908,78
2021;FEBRERO;0;0;0;1;0;0;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;677.990,61; -   ; -   ; -   ;396.797,34
2021;FEBRERO;0;0;0;0;1;0;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;773.935,70; -   ; -   ; -   ;487.764,66
2021;FEBRERO;0;0;0;0;0;1;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;1.803.423,97; -   ; -   ; -   ;1.356.576,21
2021;FEBRERO;1;1;1;0;0;1;OTRAS CUENTAS POR PAGAR;SEGURIDAD SOCIAL;381.065,84; -   ; -   ; -   ;381.065,84
2021;FEBRERO;1;1;1;0;1;1;PRÉSTAMOS INTERNOS;BANCO CENTRAL DEL ECUADOR;500.000,00; -   ; -   ; -   ;500.000,00
2021;MARZO;1;1;0;0;0;0;PRÉSTAMOS INTERNOS;BANCO DE DESARROLLO DEL ECUADOR;1.515.937,16;96.144,03;67.170,97;12.306,09;1.544.967,64
2021;MARZO;0;0;1;0;0;0;PRÉSTAMOS INTERNOS;BANCO DE DESARROLLO DEL ECUADOR;277.656,30;197,78;3.030,58;1.294,28;274.865,78
2021;MARZO;0;0;0;0;0;1;PRÉSTAMOS INTERNOS;BANCO DE DESARROLLO DEL ECUADOR;1.361.006,72;95.946,26;64.140,40;11.011,81;1.392.827,71
2021;MARZO;1;1;1;1;1;1;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PRIVADOS;1.008.750,29; -   ;1.009,20;3.020,02;1.007.741,09
2021;MARZO;1;1;1;0;0;0;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PÚBLICOS;13.252.988,60; -   ;218.685,39;61.517,63;13.034.303,21
2021;MARZO;0;0;0;0;1;0;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PÚBLICOS;3.881.111,37; -   ;50.234,14;17.626,26;3.830.877,23
2021;MARZO;0;0;0;0;0;1;TÍTULOS DE DEUDA;BONOS EMITIDOS EN MERCADO NACIONAL CON TENEDORES PÚBLICOS;13.242.482,12; -   ;218.685,39;61.517,63;13.023.796,73
2021;MARZO;1;1;1;0;0;0;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;1.511.908,78; -   ; -   ; -   ;1.329.530,02
2021;MARZO;0;0;0;1;0;0;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;396.797,34; -   ; -   ; -   ;359.166,43
2021;MARZO;0;0;0;0;1;0;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;487.764,66; -   ; -   ; -   ;450.133,75
2021;MARZO;0;0;0;0;0;1;OTRAS CUENTAS POR PAGAR;OBLIGACIONES NO PAGADAS Y REGISTRADAS EN PRESUPUESTOS CLAUSURADOS;1.356.576,21; -   ; -   ; -   ;1.178.636,06
2021;MARZO;1;1;1;0;0;1;OTRAS CUENTAS POR PAGAR;SEGURIDAD SOCIAL;381.065,84; -   ; -   ; -   ;381.065,84
2021;MARZO;1;1;1;0;1;1;PRÉSTAMOS INTERNOS;BANCO CENTRAL DEL ECUADOR;500.000,00; -   ; -   ;7.407,63;500.000,00
